firstname	lastname	age	team	games	at_bats	runs	hits	doubles	triples	homeruns	RBIs	walks	strikeouts	bat_ave 	on_base_pct  	slugging_pct 	stolen_bases	caught_stealing			xi*yi	xi^2					
Alfonso	Soriano	24	NYY	156	696	128	209	51	2	39	102	23	157	0.3	0.332	0.547	41	13			11.70	1521.00					
Miguel	Tejada	26	OAK	162	662	108	204	30	0	34	131	38	84	0.308	0.354	0.508	7	2			10.47	1156.00					
*Ichiro	Suzuki	28	SEA	157	647	111	208	27	8	8	51	68	62	0.321	0.388	0.425	31	15			2.57	64.00					
Derek	Jeter	28	NYY	157	644	124	191	26	0	18	75	73	114	0.297	0.373	0.421	32	3			5.35	324.00					
*Garret	Anderson	30	ANA	158	638	93	195	56	3	29	123	30	80	0.306	0.332	0.539	6	4			8.87	841.00					
#Carlos	Beltran	25	KCR	162	637	114	174	44	7	29	105	71	135	0.273	0.346	0.501	35	7			7.92	841.00					
Nomar	Garciapa	28	BOS	156	635	101	197	56	5	24	120	41	63	0.31	0.352	0.528	5	2			7.44	576.00					
Shea	Hillenbr	26	BOS	156	634	94	186	43	4	18	83	25	95	0.293	0.33	0.459	4	2			5.27	324.00					
*Darin	Erstad	28	ANA	150	625	99	177	28	4	10	73	27	67	0.283	0.313	0.389	23	3			2.83	100.00					
Alex	Rodrigue	26	TEX	162	624	125	187	27	2	57	142	87	122	0.3	0.392	0.623	9	4			17.10	3249.00					
*Johnny	Damon	28	BOS	154	623	118	178	34	11	14	63	65	70	0.286	0.356	0.443	31	6			4.00	196.00					
#Cristi	Guzman	24	MIN	148	623	80	170	31	6	9	59	17	79	0.273	0.292	0.385	12	13			2.46	81.00					
Tony	Batista	28	BAL	161	615	90	150	36	1	31	87	50	107	0.244	0.309	0.457	5	4			7.56	961.00					
#Bernie	Williams	33	NYY	154	612	102	204	37	2	19	102	83	97	0.333	0.415	0.493	8	4			6.33	361.00					
Bret	Boone	33	SEA	155	608	88	169	34	3	24	107	53	102	0.278	0.339	0.462	12	5			6.67	576.00					
David	Eckstein	27	ANA	152	608	107	178	22	6	8	63	45	44	0.293	0.363	0.388	21	13			2.34	64.00					
Vernon	Wells	23	TOR	159	608	87	167	34	4	23	100	27	85	0.275	0.305	0.457	9	4			6.33	529.00					
#Randy	Winn	28	TBD	152	607	87	181	39	9	14	75	55	109	0.298	0.36	0.461	27	8			4.17	196.00					
Magglio	Ordonez	28	CHW	153	590	116	189	47	1	38	135	53	77	0.32	0.381	0.597	7	5			12.16	1444.00					
*Terren	Long	26	OAK	162	587	71	141	32	4	16	67	48	96	0.24	0.298	0.39	3	6			3.84	256.00					
*Eric	Chavez	24	OAK	153	585	87	161	31	3	34	109	65	119	0.275	0.348	0.513	8	3			9.35	1156.00					
#Omar	Vizquel	35	CLE	151	582	85	160	31	5	14	72	56	64	0.275	0.341	0.418	18	10			3.85	196.00					
*Jacque	Jones	27	MIN	149	577	96	173	37	2	27	85	37	129	0.3	0.341	0.511	6	7			8.10	729.00					
Shannon	Stewart	28	TOR	141	577	103	175	38	6	10	45	54	60	0.303	0.371	0.442	14	2			3.03	100.00					
Mike	Young	25	TEX	156	573	77	150	26	8	9	62	41	112	0.262	0.308	0.382	6	7			2.36	81.00					
Paul	Konerko	26	CHW	151	570	81	173	30	0	27	104	44	72	0.304	0.359	0.498	0	0			8.21	729.00					
Troy	Glaus	25	ANA	156	569	99	142	24	1	30	111	88	144	0.25	0.352	0.453	10	3			7.50	900.00					
Raul	Mondesi	31	TOT	146	569	90	132	34	1	26	88	59	103	0.232	0.308	0.432	15	6			6.03	676.00					
*Eric	Hinske	24	TOR	151	566	99	158	38	2	24	84	77	138	0.279	0.365	0.481	13	1			6.70	576.00					
#Ray	Durham	30	TOT	150	564	114	163	34	6	15	70	73	93	0.289	0.374	0.45	26	7			4.34	225.00					
Torii	Hunter	26	MIN	148	561	89	162	37	4	29	94	35	118	0.289	0.334	0.524	23	8			8.38	841.00					
*Steve	Cox	27	TBD	148	560	65	142	30	1	16	72	60	116	0.254	0.33	0.396	5	0			4.06	256.00					
*Jason	Giambi	31	NYY	155	560	120	176	34	1	41	122	109	112	0.314	0.435	0.598	2	2			12.87	1681.00					
Melvin	Mora	30	BAL	149	557	86	130	30	4	19	64	70	108	0.233	0.338	0.404	16	10			4.43	361.00					
*Robert	Fick	28	DET	148	556	66	150	36	2	17	63	46	90	0.27	0.331	0.433	0	1			4.59	289.00					
#Neifi	Perez	29	KCR	145	554	65	131	20	4	3	37	20	53	0.236	0.26	0.303	8	9			0.71	9.00					
*John	Olerud	33	SEA	154	553	85	166	39	0	22	102	98	66	0.3	0.403	0.49	0	0			6.60	484.00					
Joe	Randa	32	KCR	151	549	63	155	36	5	11	80	46	69	0.282	0.341	0.426	2	1			3.10	121.00					
*Rafael	Palmeiro	37	TEX	155	546	99	149	34	0	43	105	104	94	0.273	0.391	0.571	2	0			11.74	1849.00					
Mike	Cameron	29	SEA	158	545	84	130	26	5	25	80	79	176	0.239	0.34	0.442	31	8			5.98	625.00					
*Trot	Nixon	28	BOS	152	532	81	136	36	3	24	94	65	109	0.256	0.338	0.47	4	2			6.14	576.00					
Frank	Thomas	34	CHW	148	523	77	132	29	1	28	92	88	115	0.252	0.361	0.472	3	0			7.06	784.00					
Ellis	Burks	37	CLE	138	518	92	156	28	0	32	91	44	108	0.301	0.362	0.541	2	3			9.63	1024.00					
#Jorge	Posada	30	NYY	143	511	79	137	40	1	20	99	81	143	0.268	0.37	0.468	1	0			5.36	400.00					
*Carlos	Delgado	30	TOR	143	505	103	140	34	2	33	108	102	126	0.277	0.406	0.549	1	0			9.14	1089.00					
*Raul	Ibanez	30	KCR	137	497	70	146	37	6	24	103	40	76	0.294	0.346	0.537	5	3			7.06	576.00					
*Scott	Hatteber	32	OAK	136	492	58	138	22	4	15	61	68	56	0.28	0.374	0.433	0	0			4.20	225.00					
Carlos	Lee	26	CHW	140	492	82	130	26	2	26	80	75	73	0.264	0.359	0.484	1	4			6.86	676.00					
#Scott	Spiezio	29	ANA	153	491	80	140	34	2	12	82	67	52	0.285	0.371	0.436	6	7			3.42	144.00					
*Jay	Gibbons	25	BAL	136	490	71	121	29	1	28	69	45	66	0.247	0.311	0.482	1	3			6.92	784.00					
*Corey	Koskie	29	MIN	140	490	71	131	37	3	15	69	72	127	0.267	0.368	0.447	10	11			4.01	225.00					
Jermain	Dye	28	OAK	131	488	74	123	27	1	24	86	52	108	0.252	0.333	0.459	2	0			6.05	576.00					
Jeff	Cirillo	32	SEA	146	485	51	121	20	0	6	54	31	67	0.249	0.301	0.328	8	4			1.49	36.00					
Tim	Salmon	33	ANA	138	483	84	138	37	1	22	88	71	102	0.286	0.38	0.503	6	3			6.29	484.00					
*Ben	Grieve	26	TBD	136	482	62	121	30	0	19	64	69	121	0.251	0.353	0.432	8	2			4.77	361.00					
*Randal	Simon	27	DET	130	482	51	145	17	1	19	82	13	30	0.301	0.32	0.459	0	1			5.72	361.00					
*Jim	Thome	31	CLE	147	480	101	146	19	2	52	118	122	139	0.304	0.445	0.677	1	2			15.81	2704.00					
#Carlos	Guillen	26	SEA	134	475	73	124	24	6	9	56	46	91	0.261	0.326	0.394	4	5			2.35	81.00					
*Michae	Tucker	31	KCR	144	475	65	118	27	6	12	56	56	105	0.248	0.33	0.406	23	9			2.98	144.00					
#Jose	Valentin	32	CHW	135	474	70	118	26	4	25	75	43	99	0.249	0.311	0.479	3	3			6.23	625.00					
*Adam	Kennedy	26	ANA	144	474	65	148	32	6	7	52	19	80	0.312	0.345	0.449	17	4			2.18	49.00					
Mike	Sweeney	28	KCR	126	471	81	160	31	1	24	86	61	46	0.34	0.417	0.563	9	7			8.16	576.00					
*Doug	Mientkie	28	MIN	143	467	60	122	29	1	10	64	74	69	0.261	0.365	0.392	1	2			2.61	100.00					
#Jason	Varitek	30	BOS	132	467	58	124	27	1	10	61	41	95	0.266	0.332	0.392	4	3			2.66	100.00					
#Jose	Cruz	28	TOR	124	466	64	114	26	5	18	70	51	106	0.245	0.317	0.438	7	1			4.41	324.00					
*Chris	Singleto	29	BAL	136	466	67	122	30	6	9	50	21	83	0.262	0.296	0.41	20	2			2.36	81.00					
*Robin	Ventura	34	NYY	141	465	68	115	17	0	27	93	90	101	0.247	0.368	0.458	3	1			6.67	729.00					
Brent	Abernath	24	TBD	117	463	46	112	18	4	2	40	25	46	0.242	0.288	0.311	10	4			0.48	4.00					
Chris	Gomez	31	TBD	130	461	51	122	31	3	10	46	21	58	0.265	0.305	0.41	1	3			2.65	100.00					
Marty	Cordova	32	BAL	131	458	55	116	25	2	18	64	47	111	0.253	0.325	0.434	1	6			4.55	324.00					
Rondell	White	30	NYY	126	455	59	109	21	0	14	62	25	86	0.24	0.288	0.378	1	2			3.36	196.00					
*Aubrey	Huff	25	TBD	113	454	67	142	25	0	23	59	37	55	0.313	0.364	0.52	4	1			7.20	529.00					
Jeff	Conine	36	BAL	116	451	44	123	26	4	15	63	25	66	0.273	0.307	0.448	8	0			4.10	225.00					
Herb	Perry	32	TEX	132	450	64	124	24	1	22	77	34	66	0.276	0.333	0.48	4	2			6.07	484.00					
*Brian	Daubach	30	BOS	137	444	62	118	24	2	20	78	51	126	0.266	0.348	0.464	2	1			5.32	400.00					
*Bobby	Higginso	31	DET	119	444	50	125	24	3	10	63	41	45	0.282	0.345	0.417	12	5			2.82	100.00					
*A.J.	Pierzyns	25	MIN	130	440	54	132	31	6	6	49	13	61	0.3	0.334	0.439	1	2			1.80	36.00					
